食物,热量,链接
羊油，又叫羊脂,热量：824 大卡(每100克),http://www.boohee.com/shiwu/yangyou
棉籽油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/mianziyou
白脱(食品工业)，又叫牛油，黄油,热量：744 大卡(每100克),http://www.boohee.com/shiwu/baituo_shipingongye
珠江 桥牌小磨芝麻油,热量：900 大卡(每100克),http://www.boohee.com/shiwu/zhujiangqiaopaixiaomozhimayou
鸭油(炼),热量：897 大卡(每100克),http://www.boohee.com/shiwu/yayou_lian
核桃油,热量：895 大卡(每100克),http://www.boohee.com/shiwu/hetaoyou
椰子油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/yeziyou
统一纯橄榄油,热量：818 大卡(每100克),http://www.boohee.com/shiwu/tongyichunganlanyou
酥油,热量：860 大卡(每100克),http://www.boohee.com/shiwu/suyou
HOMEBRAND鲜奶油,热量：331 大卡(每100克),http://www.boohee.com/shiwu/HOMEBRANDxiannaiyou
Allowuie zero黄油,热量：733 大卡(每100克),http://www.boohee.com/shiwu/Allowuiehizerohuangyou
Land Lakes油菜籽植物黄油,热量：714 大卡(每100克),http://www.boohee.com/shiwu/youcaizizhiwuhuangyou
米糠油,热量：894 大卡(每100克),http://www.boohee.com/shiwu/mikangyou
蜂蜜，又叫石蜜、石饴、食蜜、蜜、白蜜、白沙...,热量：321 大卡(每100克),http://www.boohee.com/shiwu/fengmi
白砂糖，又叫白糖、糖、砂糖、石蜜、白霜糖,热量：400 大卡(每100克),http://www.boohee.com/shiwu/baishatang
蜂蜜（槐花）,热量：361 大卡(每100克),http://www.boohee.com/shiwu/fengmi_huaihua
红糖，又叫土红糖、红糖,热量：389 大卡(每100克),http://www.boohee.com/shiwu/hongtang
榨菜,热量：33 大卡(每100克),http://www.boohee.com/shiwu/zhacai
酱油，又叫豉油、酱汁、豉汁,热量：63 大卡(每100克),http://www.boohee.com/shiwu/jiangyou_junzhi
醋，又叫苦酒、淳酢、醯、酢,热量：31 大卡(每100克),http://www.boohee.com/shiwu/cu_junzhi
芝麻酱,热量：630 大卡(每100克),http://www.boohee.com/shiwu/zhimajiang
腐乳(红)，又叫南乳、酱豆腐,热量：153 大卡(每100克),http://www.boohee.com/shiwu/furu_hong
腐乳(白)，又叫酱豆腐、豆腐乳,热量：135 大卡(每100克),http://www.boohee.com/shiwu/furu_bai
花生酱,热量：600 大卡(每100克),http://www.boohee.com/shiwu/huashengjiang
红豆沙,热量：244 大卡(每100克),http://www.boohee.com/shiwu/hongdousha
辣椒酱，又叫辣椒糊,热量：36 大卡(每100克),http://www.boohee.com/shiwu/lajiaojiang
味精，又叫味素、味之素,热量：268 大卡(每100克),http://www.boohee.com/shiwu/weijing
榨菜（鱼泉牌）,热量：51 大卡(每100克),http://www.boohee.com/shiwu/zhacai_yuquanpai
冰糖,热量：397 大卡(每100克),http://www.boohee.com/shiwu/bingtang
鸡精,热量：195 大卡(每100克),http://www.boohee.com/shiwu/jijing
番茄酱，又叫茄汁,热量：83 大卡(每100克),http://www.boohee.com/shiwu/fanqiejiang
绵白糖,热量：396 大卡(每100克),http://www.boohee.com/shiwu/mianbaitang
食盐，又叫盐、盐巴、咸鹾,热量：0 大卡(每100克),http://www.boohee.com/shiwu/jingyan
沙拉酱（色拉酱）,热量：724 大卡(每100克),http://www.boohee.com/shiwu/shalajiang
豆瓣酱，又叫蚕豆酱,热量：181 大卡(每100克),http://www.boohee.com/shiwu/doubanjiang
豆沙,热量：247 大卡(每100克),http://www.boohee.com/shiwu/dousha
榨菜（正林牌）,热量：63 大卡(每100克),http://www.boohee.com/shiwu/zhacai_zhenglinpai
甜面酱，又叫面酱、甜酱,热量：139 大卡(每100克),http://www.boohee.com/shiwu/tianmianjiang
酱黄瓜,热量：26 大卡(每100克),http://www.boohee.com/shiwu/jianghuanggua
千岛沙拉酱，又叫沙拉酱、沙律酱、美乃滋,热量：475 大卡(每100克),http://www.boohee.com/shiwu/qiandaoshalajiang
雪菜，又叫雪里蕻,热量：39 大卡(每100克),http://www.boohee.com/shiwu/xuecai
番茄沙司,热量：112 大卡(每100克),http://www.boohee.com/shiwu/fanqieshasi
白醋,热量：6 大卡(每100克),http://www.boohee.com/shiwu/baicu
苹果酱,热量：278 大卡(每100克),http://www.boohee.com/shiwu/pingguojiang
宫岛 橄榄菜,热量：358 大卡(每100克),http://www.boohee.com/shiwu/gongdaoganlancai
辣椒粉,热量：290 大卡(每100克),http://www.boohee.com/shiwu/lajiaofen
蜂蜜（油菜花）,热量：338 大卡(每100克),http://www.boohee.com/shiwu/fengmi_youcaihua
蒜蓉辣酱,热量：96 大卡(每100克),http://www.boohee.com/shiwu/suanronglajiang
胡椒粉,热量：361 大卡(每100克),http://www.boohee.com/shiwu/hujiaofen
腌雪里蕻，又叫腌雪菜,热量：29 大卡(每100克),http://www.boohee.com/shiwu/axuelihong
草莓酱,热量：270 大卡(每100克),http://www.boohee.com/shiwu/caomeijiang
五香豆豉，又叫大苦、香豉、康伯,热量：270 大卡(每100克),http://www.boohee.com/shiwu/wuxiangdouchi
豆瓣酱(辣油),热量：188 大卡(每100克),http://www.boohee.com/shiwu/doubanjiang_layou
腐乳(香辣味）,热量：158 大卡(每100克),http://www.boohee.com/shiwu/furu_xianglawei
牛肉酱（阿香婆）,热量：488 大卡(每100克),http://www.boohee.com/shiwu/niuroujiang_axiangpo
红豆馅,热量：261 大卡(每100克),http://www.boohee.com/shiwu/hongdouxian
豆瓣辣酱,热量：73 大卡(每100克),http://www.boohee.com/shiwu/doubanlajiang
麻辣酱,热量：145 大卡(每100克),http://www.boohee.com/shiwu/malajiang
糟豆腐乳，又叫糟乳,热量：157 大卡(每100克),http://www.boohee.com/shiwu/zaodoufuru
广乐香辣咸菜,热量：60 大卡(每100克),http://www.boohee.com/shiwu/guanglexianglaxiancai
腐乳(臭)，又叫臭豆腐、臭腐乳,热量：132 大卡(每100克),http://www.boohee.com/shiwu/furu_chou
酱油(高级),热量：71 大卡(每100克),http://www.boohee.com/shiwu/jiangyou_gaoji
陈醋,热量：114 大卡(每100克),http://www.boohee.com/shiwu/chencu
饼干,热量：435 大卡(每100克),http://www.boohee.com/shiwu/binggan_junzhi
蛋糕(黄蛋糕),热量：320 大卡(每100克),http://www.boohee.com/shiwu/dangao_huangdangao
薄荷松仁粽子糖,热量：406 大卡(每100克),http://www.boohee.com/shiwu/baohesongrenzongzitang
巧克力，又叫朱古力,热量：589 大卡(每100克),http://www.boohee.com/shiwu/qiaokeli
冰淇淋，又叫冰激凌、雪糕,热量：127 大卡(每100克),http://www.boohee.com/shiwu/bingqilin
红薯干，又叫地瓜干，甘薯干,热量：338 大卡(每100克),http://www.boohee.com/shiwu/diguagan
培根汉堡（夹熏肉，奶酪，加调料酱）,热量：311 大卡(每100克),http://www.boohee.com/shiwu/ganlaohanbaobao_jiaxunrou_jiadiaoliaojiang
绿豆饼（少糖少油）,热量：122 大卡(每100克),http://www.boohee.com/shiwu/lvdoubing
苏打饼干,热量：408 大卡(每100克),http://www.boohee.com/shiwu/sudabinggan
麻花,热量：527 大卡(每100克),http://www.boohee.com/shiwu/mahua
奶油蛋糕,热量：379 大卡(每100克),http://www.boohee.com/shiwu/naiyoudangao
佳梅 真之话梅,热量：180 大卡(每100克),http://www.boohee.com/shiwu/jiameizhenzhihuamei
月饼(豆沙),热量：411 大卡(每100克),http://www.boohee.com/shiwu/yuebing_dousha
山楂果丹皮,热量：326 大卡(每100克),http://www.boohee.com/shiwu/shanchaguodanpi
蛋糕,热量：348 大卡(每100克),http://www.boohee.com/shiwu/dangao_junzhi
沙琪玛蛋酥,热量：506 大卡(每100克),http://www.boohee.com/shiwu/shaqimadansu
单层汉堡（单层肉饼，无调料酱）,热量：316 大卡(每100克),http://www.boohee.com/shiwu/ganlaohanbaobao_putongxing_jiadancengroubing_wudiaoliaojiang
绿豆糕,热量：351 大卡(每100克),http://www.boohee.com/shiwu/lvdougao
西式蛋糕,热量：316 大卡(每100克),http://www.boohee.com/shiwu/xishidangao
野澤 猴肉（腊梅味） ,热量：295 大卡(每100克),http://www.boohee.com/shiwu/nuomifantuan
山楂球,热量：371 大卡(每100克),http://www.boohee.com/shiwu/shanchaqiu
德芙 香浓黑巧克力,热量：542 大卡(每100克),http://www.boohee.com/shiwu/defuxiangnongheiqiaokeli
夹心酥饼,热量：482 大卡(每100克),http://www.boohee.com/shiwu/jiaxinsubing
月饼(五仁),热量：424 大卡(每100克),http://www.boohee.com/shiwu/yuebing_wuren
锅巴（豆香）,热量：528 大卡(每100克),http://www.boohee.com/shiwu/guoba_douxiang
锅巴（小米）,热量：554 大卡(每100克),http://www.boohee.com/shiwu/guoba_xiaomi
薯片（烧烤味）,热量：548 大卡(每100克),http://www.boohee.com/shiwu/shupian_shaokaowei
冰棍,热量：47 大卡(每100克),http://www.boohee.com/shiwu/binggun
板油酥饼,热量：360 大卡(每100克),http://www.boohee.com/shiwu/banyousubing
巧克力(维夫)，又叫朱古力威化,热量：575 大卡(每100克),http://www.boohee.com/shiwu/qiaokeli_weifu
奶糖,热量：407 大卡(每100克),http://www.boohee.com/shiwu/naitang
曲奇饼,热量：546 大卡(每100克),http://www.boohee.com/shiwu/quqibing
蛋糕（巧克力）,热量：437 大卡(每100克),http://www.boohee.com/shiwu/dangao_qiaokeli
奶油饼干,热量：431 大卡(每100克),http://www.boohee.com/shiwu/naiyoubinggan
酥皮糕点,热量：429 大卡(每100克),http://www.boohee.com/shiwu/supigaodian
和路雪绿豆妹妹冰棍,热量：120 大卡(每100克),http://www.boohee.com/shiwu/heluxuelvdoumeimeibinggun
面包条（白）,热量：283 大卡(每100克),http://www.boohee.com/shiwu/mianbaotiao_bai
肯德基 薯条,热量：298 大卡(每100克),http://www.boohee.com/shiwu/shutiao_kendeji
爆米花,热量：387 大卡(每100克),http://www.boohee.com/shiwu/baomihua
桃酥,热量：483 大卡(每100克),http://www.boohee.com/shiwu/taosu
时兴隆鱿鱼丝,热量：333 大卡(每100克),http://www.boohee.com/shiwu/shixinglongyouyusi
百乐宝 巧克力雪糕,热量：174 大卡(每100克),http://www.boohee.com/shiwu/bailebaoqiaokelixuegao
大雪糕,热量：74 大卡(每100克),http://www.boohee.com/shiwu/daxuegao
饼干（苏打夹心）,热量：463 大卡(每100克),http://www.boohee.com/shiwu/binggan_sudajiaxin
好丽友 蛋黄派[注心蛋黄派],热量：448 大卡(每100克),http://www.boohee.com/shiwu/haoliyoudanhuangpaihizhuxindanhuangpaihi
和路雪 红豆冰棍 ,热量：91 大卡(每100克),http://www.boohee.com/shiwu/heluxuehongdoubinggunhi
牛奶糖,热量：435 大卡(每100克),http://www.boohee.com/shiwu/niunaitang
太平 梳打饼干海苔口味,热量：485 大卡(每100克),http://www.boohee.com/shiwu/taipingshudabinggan-haitaikouwei
鸡汁味干脆面（面饼+调味料）,热量：505 大卡(每100克),http://www.boohee.com/shiwu/jizhiweigancuimian_mianbingdiaoweiliao
蚕豆(炸)，又叫开花豆、胡豆、夏豆、罗汉豆,热量：447 大卡(每100克),http://www.boohee.com/shiwu/candou_zha
麦当劳 麦香鸡,热量：283 大卡(每100克),http://www.boohee.com/shiwu/maidanglao_maixiangji
油面筋，又叫面筋泡、油炸生筋,热量：492 大卡(每100克),http://www.boohee.com/shiwu/youmianjin
千亿朵星光 益生菌含片(酸甜芒果味),热量：379 大卡(每100克),http://www.boohee.com/shiwu/fde63ca9
Easy Fun 阿胶糕（玫瑰型）,热量：426 大卡(每100克),http://www.boohee.com/shiwu/fdbce4eb
Easy Fun 益生元龟苓膏,热量：39 大卡(每100克),http://www.boohee.com/shiwu/fd02353b
枸杞，又叫甘杞、贡杞、枸杞子、红耳坠、苟起...,热量：258 大卡(每100克),http://www.boohee.com/shiwu/gouqizi
陈皮，又叫橘皮、贵老、红皮、黄橘皮、广橘皮...,热量：319 大卡(每100克),http://www.boohee.com/shiwu/chenpi
栝楼根粉，又叫栝楼粉、蒌粉、天花粉,热量：397 大卡(每100克),http://www.boohee.com/shiwu/huafen_youcai
葛根，又叫野葛、鹿霍、黄斤、鸡齐根、干葛、...,热量：181 大卡(每100克),http://www.boohee.com/shiwu/gegen
阿拉斯加 康力士螺旋藻复合片,热量：335 大卡(每100克),http://www.boohee.com/shiwu/alasijiakanglishiluoxuanzaofuhepian
美国GBN进口蛋白质粉,热量：407 大卡(每100克),http://www.boohee.com/shiwu/meiguoGBNjinkoudanbaizhifen
花粉（油松），又叫松花粉,热量：398 大卡(每100克),http://www.boohee.com/shiwu/huafen_yousong
阿拉斯加 康力士乳清蛋白粉（香草味）,热量：395 大卡(每100克),http://www.boohee.com/shiwu/alasijiakanglishiruqingdanbaifen_xiangcaowei
菊花（干），又叫怀菊花、节华、日精、女节、...,热量：242 大卡(每100克),http://www.boohee.com/shiwu/juhua
花粉（荞麦）,热量：353 大卡(每100克),http://www.boohee.com/shiwu/huafen_qiaomai
纽崔莱 果蔬纤维素嚼片,热量：488 大卡(每100克),http://www.boohee.com/shiwu/niucuilaiguoshuxianweisujiaopian
阿拉斯加 康力士玫瑰果提取物复合片,热量：402 大卡(每100克),http://www.boohee.com/shiwu/alasijiakanglishimeiguiguotiquwufuhepian
蚕蛹,热量：230 大卡(每100克),http://www.boohee.com/shiwu/canyong
金日 高营养蛋白质粉,热量：197 大卡(每100克),http://www.boohee.com/shiwu/jinripaigaoyingyangdanbaizhifen
米粉（雀巢）,热量：376 大卡(每100克),http://www.boohee.com/shiwu/mifen_quechao
肉桂，又叫桂皮、牡桂、桂、大桂、筒桂、辣桂、玉桂,热量：278 大卡(每100克),http://www.boohee.com/shiwu/rougui
茯苓，又叫茯苓个、茯苓皮、茯苓块、赤茯苓、...,热量：178 大卡(每100克),http://www.boohee.com/shiwu/fulian
乳儿糕,热量：366 大卡(每100克),http://www.boohee.com/shiwu/ruergao
DHC浓缩膳食纤维粉,热量：194 大卡(每100克),http://www.boohee.com/shiwu/DHCnongsuoshanshixianweifen
罗汉果，又叫假苦瓜、拉汉果、光果木鳖、,热量：246 大卡(每100克),http://www.boohee.com/shiwu/luohanguo
米粉（蔬菜，亨氏）,热量：394 大卡(每100克),http://www.boohee.com/shiwu/mifen_shucai_hengshi
薄荷(鲜)，又叫香花菜、绿薄荷、夜兰香、夜...,热量：34 大卡(每100克),http://www.boohee.com/shiwu/baohe_xian
蛇,热量：85 大卡(每100克),http://www.boohee.com/shiwu/she_junzhi
紫苏(鲜)，又叫赤苏、白苏、苏、苏叶,热量：51 大卡(每100克),http://www.boohee.com/shiwu/zisu_xian
枣仁,热量：367 大卡(每100克),http://www.boohee.com/shiwu/zaoren
亨氏牌婴儿营养米粉DHA蔬菜口味,热量：365 大卡(每100克),http://www.boohee.com/shiwu/hengshipaiyingeryingyangmifenDHAshucaikouwei
天然元 啤酒酵母复合营养片含B族维生素,热量：120 大卡(每100克),http://www.boohee.com/shiwu/tianranyuanpijiujiaomufuheyingyangpianhanBzuweishengsu
米粉（高蛋白，雀巢）,热量：409 大卡(每100克),http://www.boohee.com/shiwu/mifen_gaodanbai_quechao
米粉（高蛋白，亨氏）,热量：375 大卡(每100克),http://www.boohee.com/shiwu/mifen_gaodanbai_hengshi
阿拉斯加 康力士谷物提取物复合片（含全家福...,热量：210 大卡(每100克),http://www.boohee.com/shiwu/alasijiakanglishiguwutiquwufuhepian_hanquanjiafuduozhongweishengsu
婴儿营养粉,热量：426 大卡(每100克),http://www.boohee.com/shiwu/yingeryingyangfen
美国纤雅奇异子,热量：536 大卡(每100克),http://www.boohee.com/shiwu/meiguoxianyaqiyizi
婴儿奶糕,热量：345 大卡(每100克),http://www.boohee.com/shiwu/yingernaigao
薄荷(干)，又叫蕃荷菜、南薄荷、猫儿薄荷、...,热量：271 大卡(每100克),http://www.boohee.com/shiwu/baohe_gan
甘草，又叫生甘草、粉甘草、甘草梢、甜根子、...,热量：280 大卡(每100克),http://www.boohee.com/shiwu/gancao
米粉（胡萝卜，亨氏）,热量：386 大卡(每100克),http://www.boohee.com/shiwu/mifen_huluobo_hengshi
冬虫夏草，又叫虫草、冬虫草（甘肃）、夏草冬...,热量：292 大卡(每100克),http://www.boohee.com/shiwu/dongchongxiacao
营养乳儿糕,热量：365 大卡(每100克),http://www.boohee.com/shiwu/yingyangruergao
阿拉斯加 康力士牡蛎提取物软胶囊（含钙）,热量：326 大卡(每100克),http://www.boohee.com/shiwu/alasijiakanglishimulitiquwuruanjiaonang_hangai
米粉（猪肝蔬菜，亨氏）,热量：391 大卡(每100克),http://www.boohee.com/shiwu/mifen_zhuganshucai_hengshi
优莎娜纤维素（水蜜桃芒果）,热量：267 大卡(每100克),http://www.boohee.com/shiwu/youshanaxianweisu_shuimitaomangguo
鸡肝蔬菜泥（亨氏）,热量：76 大卡(每100克),http://www.boohee.com/shiwu/jiganshucaini_hengshi
米粉（鱼肉蔬菜，亨氏）,热量：383 大卡(每100克),http://www.boohee.com/shiwu/mifen_yuroushucai_hengshi
白芷，又叫芳香、泽芬、香白芷,热量：324 大卡(每100克),http://www.boohee.com/shiwu/baizhi
决明(鲜)，又叫羊明、马蹄决明、钝叶决明、...,热量：1 大卡(每100克),http://www.boohee.com/shiwu/jueming_xian
三鲜豆腐 家常风味,热量：110 大卡(每100克),http://www.boohee.com/shiwu/sanxiandoufu2
悄悄吃豆干香辣味,热量：192 大卡(每100克),http://www.boohee.com/shiwu/qiaoqiaochidouganxianglawei
奶黄包，又叫广式椰奶黄包，广式奶黄包,热量：291 大卡(每100克),http://www.boohee.com/shiwu/guangshiyenaihuangbao
海牌海苔,热量：502 大卡(每100克),http://www.boohee.com/shiwu/hanguohaipaihaitai
番茄奶酪披萨,热量：190 大卡(每100克),http://www.boohee.com/shiwu/fanqienailaopisa
香港仔四海鱼蛋（咖喱味）,热量：123 大卡(每100克),http://www.boohee.com/shiwu/xianggangzisihaiyudan_kaliwei
卷心菜粥,热量：34 大卡(每100克),http://www.boohee.com/shiwu/baicaizhou
